Alter,Kilometer,Durchschn. Kraftstoffverbrauch,Motorleistung,Motorhubraum,Preis,Kraftstoffeffizienz
15.0,337000,5.8,136.0,1968,749000,0.003
9.0,145000,4.4,190.0,1968,1975000,0.002
7.0,76000,4.5,116.0,999,1145000,0.005
8.0,139000,3.7,110.0,1598,995000,0.002
5.0,83400,4.4,116.0,999,1250000,0.004
17.0,380000,6.2,140.0,1968,650000,0.003
18.0,378000,8.0,102.0,1595,550000,0.005
7.0,181000,3.7,110.0,1598,1120000,0.002
10.0,105000,3.9,110.0,1598,1225000,0.002
7.0,124000,3.9,116.0,1598,1075000,0.002
11.0,270000,5.0,177.0,1968,1420000,0.003
16.0,160000,7.6,102.0,1595,655000,0.005
17.0,243000,6.0,140.0,1968,690000,0.003
13.0,140751,5.3,105.0,1197,714900,0.004
24.0,155555,7.7,102.0,1595,400000,0.005
9.0,135000,4.9,150.0,1968,1289000,0.002
8.0,89000,3.9,110.0,1598,1380000,0.002
10.0,260000,3.8,110.0,1598,930000,0.002
19.0,323000,8.5,163.0,1781,599999,0.005
9.0,233000,3.9,110.0,1598,1020000,0.002
9.0,118500,3.9,110.0,1598,1000000,0.002
4.0,28000,4.9,150.0,1498,1290000,0.003
7.0,144900,4.4,190.0,1968,1870000,0.002
4.0,46000,5.1,150.0,1498,1238950,0.003
18.0,298000,6.5,115.0,1595,510000,0.004
12.0,185000,4.8,177.0,1968,1250000,0.002
8.0,83000,5.2,150.0,1395,1535000,0.004
14.0,203500,5.8,125.0,1390,600000,0.004
25.0,380000,9.3,193.0,2771,350000,0.003
13.0,400125,5.8,142.0,1968,985000,0.003
10.0,150000,3.9,110.0,1598,1080000,0.002
14.0,227000,7.1,180.0,1984,760000,0.004
16.0,337000,8.2,170.0,1984,775000,0.004
10.0,206000,4.8,177.0,1968,1650000,0.002
19.0,173000,7.7,102.0,1595,615000,0.005
3.0,66000,5.0,150.0,1498,1900000,0.003
11.0,245000,3.9,105.0,1598,915000,0.002
15.0,252500,7.1,211.0,1984,950000,0.004
25.0,400000,8.6,101.0,1595,300000,0.005
17.0,270000,7.6,102.0,1595,510000,0.005
19.0,285000,8.5,163.0,1781,985000,0.005
9.0,152000,5.1,190.0,1968,1499999,0.003
12.0,218000,4.8,177.0,1968,1550000,0.002
10.0,225000,5.2,272.0,2967,1870000,0.002
17.0,329000,5.8,140.0,1968,740000,0.003
7.0,89000,5.2,150.0,1395,1625000,0.004
12.0,300000,4.8,177.0,1968,1225000,0.002
10.0,135000,3.9,110.0,1598,895000,0.002
12.0,108000,4.3,105.0,1598,750000,0.003
